file,category,last_commit_date,references_count,suggested_action
_batch_cables_by_method.py,one-off-scratch,2026-05-09,0,move-to-experiments
_batch_gpk3.py,one-off-scratch,2026-05-09,0,move-to-experiments
_build_horiz_5ae_template.py,one-off-scratch,2026-05-09,0,move-to-experiments
_build_template_library.py,one-off-scratch,2026-05-09,0,move-to-experiments
_build_template_library_kpp.py,one-off-scratch,2026-05-09,0,move-to-experiments
_cable_probe.py,one-off-scratch,2026-05-09,0,move-to-experiments
_cable_probe2.py,one-off-scratch,2026-05-09,6,move-to-experiments
_cable_probe3.py,one-off-scratch,2026-05-09,0,move-to-experiments
_cable_probe4.py,one-off-scratch,2026-05-09,0,move-to-experiments
_cable_probe5.py,one-off-scratch,2026-05-09,0,move-to-experiments
_cable_probe6.py,one-off-scratch,2026-05-09,0,move-to-experiments
_cable_probe7.py,one-off-scratch,2026-05-09,0,move-to-experiments
_cable_probe8.py,one-off-scratch,2026-05-09,0,move-to-experiments
_check_dxf_cables.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_compare_lib_templates.py,one-off-scratch,2026-05-09,0,move-to-experiments
_compare_vor_docx.py,one-off-scratch,2026-05-09,0,move-to-experiments
_detect_shape_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_detect_shape_v2_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_detect_shape_v3_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_detect_textfree_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_diag2_005.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_diag_005.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_diag_5ae_other_plans.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_diag_b028_gate.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_diag_b029.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_diag_b030.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_diag_b030_2.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_diag_b030_3.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_diag_b030_4.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_diag_cables_pdf.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_diag_clusters_005.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_diag_geo2_005.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_diag_geo_005.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_diag_legend_rows_005.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_diag_ncc_005.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_diag_text.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_dump_diff.py,one-off-scratch,2026-05-09,0,move-to-experiments
_dxf_blocks_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_etalon_stats.py,one-off-scratch,2026-05-09,0,move-to-experiments
_final_overlay_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_fix_t047_collision.py,one-off-scratch,2026-05-09,0,move-to-experiments
_geo_features_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_geo_multi_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_geom_detect_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_geom_v2_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_geom_v3_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_geom_v4_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_gt_descriptors_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_gt_descriptors_v2_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_inspect_etalon.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_inspect_kpp_icon_position.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_inspect_kpp_legend.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_inspect_kpp_y_dist.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_inspect_legend_005.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_inspect_legend_bboxes.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_inspect_switches_005.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_inspect_switches_v2_005.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_inspect_visual_005.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_probe_all_files_cables.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_probe_all_layouts.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_probe_dedup_coords.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_probe_emergency_cables.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_probe_entity_types.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_probe_full_cable_parser.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_probe_geometric_link.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_probe_luminaire_floors.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_probe_luminaire_per_floor.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_probe_mtext_format.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_probe_raw_context.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_probe_shem?_zho_struct.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_probe_switches_005.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_probe_symbol_breakdown.py,diagnostic-probe,2026-05-09,0,move-to-experiments
_recon_rects_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
_recon_text_to_rect_005.py,one-off-scratch,2026-05-09,0,move-to-experiments
